text,labels
恭喜您中奖了50000元，请点击http://prize.com领取奖金,"O O O B-MONEY I-MONEY O O B-LINK I-LINK I-LINK I-LINK O"
中奖信息已发放，请联系李经理，电话：13912345678,"O O O O O B-NAME I-NAME O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
您是本月幸运用户，奖金将汇入账号6222000000000000,"O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
我是警官张三，您涉嫌洗钱，请拨打110配合调查,"O O B-NAME I-NAME O O O O O B-PHONE I-PHONE I-PHONE O O O"
公安局紧急通知，请于明天上午10点到公安局办理,"O O O O O O B-TIME I-TIME I-TIME O B-LOC O O"
您身份证涉及案件需核实账户，电话：13888888888,"O O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
刷单返佣日入500，返现到账户1234567890123456,"O O O O B-MONEY O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
兼职平台要先支付押金，收款账号：6222333344445555,"O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
刷单任务完成后未收到返现，请联系客服,"O O O O O O O O O O"
理财平台年化收益18%，客服：李经理，电话：13999999999,"O O O O O O B-NAME I-NAME O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
投资顾问推荐新项目，详情见http://invest.com,"O O O O O O B-LINK I-LINK I-LINK I-LINK"
朋友推荐理财App要投10万到账户8888888888888888,"O O O O O O O B-MONEY O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
我是京东客服，订单异常请退款，电话：13777777777,"O O O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
淘宝客服误操作要我退单，退款链接：http://refund.com,"O O O O O O O O O O B-LINK I-LINK I-LINK I-LINK"
平台客服说我涉嫌违规交易，收款账号：6222444455556666,"O O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
我是李总，立刻汇款到我发的账号1234123412341234,"O O B-NAME I-NAME O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
新号码是领导的，处理转账事项，电话：13666666666,"O O O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
领导让你加新微信，收款账号：6222555566667777,"O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
您是密接人员需登记核酸信息，详情见http://health.com,"O O O O O O O O O B-LINK I-LINK I-LINK I-LINK"
