text,label
您中奖了，请点击链接领取奖金,0
恭喜您获得苹果手机，请交手续费,0
您被抽中为幸运用户，速联系客服,0
中奖信息已发放，请尽快领取,0
填写身份证即可兑奖，机会难得,0
您中了50000元现金，扫码领取,0
转账验证身份后即可发奖,0
我收到了中奖短信是真的吗？,0
点链接领奖是不是诈骗？,0
有人说我中奖了还要交钱,0
您获得了免费旅游名额，请联系领奖,0
官方抽奖活动，扫码领奖,0
中奖信息已发送至您的邮箱,0
请提供银行卡号以便发放奖金,0
您是本月幸运用户，速来领奖,0
中奖后需缴纳个人所得税,0
请下载APP领取您的奖品,0
中奖信息已核实，请添加客服,0
您被选中参与抽奖活动,0
请填写信息领取大奖,0
我是警官你涉嫌洗钱，请配合调查,1
您有一份法院传票未处理,1
您身份证涉及案件需核实账户,1
公安局紧急通知，请拨打电话,1
警察联系我说我违法了,1
接到公安电话说冻结账户,1
他说是检察院要我配合取证,1
有人自称公安局要我打钱,1
他发我警官证照片，还要我转账,1
我是不是被骗了，公安也能视频通话吗？,1
我是检察院工作人员，请配合调查,1
法院通知您有案件未处理,1
公安机关要求您提供资金流水,1
警官来电称您涉嫌犯罪,1
检察官要求您转账配合调查,1
公安局发来紧急通知,1
法院工作人员联系您,1
检察院要求您提供账户信息,1
公安局要求您配合资金核查,1
刷单返佣日入500，立结,2
兼职赚钱，垫付返现，包赚不赔,2
先付款后返利是真的吗？,2
抖音点赞任务返现靠谱吗？,2
淘宝好评兼职招人,2
刷单客服让我先支付商品费,2
拍下返现是真是假？,2
兼职平台要先支付押金,2
我完成任务了却没返现,2
接了刷单任务被骗了怎么办,2
高薪刷单，日结工资,2
兼职刷单需先垫付资金,2
刷单任务完成后未收到返现,2
刷单平台要求先交保证金,2
刷单返利是真的吗,2
刷单被骗如何追回损失,2
刷单客服要求先转账,2
刷单兼职靠谱吗,2
刷单被骗报警有用吗,2
理财平台年化收益18%，保本,3
股票老师让我进群炒股,3
数字货币稳赚不赔是真的吗？,3
新项目回报高，首投有奖,3
加入基金群推荐比特币,3
虚拟币平台天天发红包,3
炒股软件提示拉升买入,3
客服说平台稳赚，让我充值,3
理财顾问说稳赚，我不确定,3
朋友推荐理财App要投10万,3
高收益理财项目推荐,3
投资平台承诺高回报,3
理财产品保本保息,3
投资顾问推荐虚拟币,3
理财平台客服推荐投资,3
投资项目稳赚不赔,3
理财平台客服让充值,3
投资平台客服推荐高收益,3
理财顾问推荐新项目,3
我是京东客服，订单异常请退款,4
拼多多退款操作点此链接,4
淘宝客服误操作要我退单,4
您多付了款项，请提供银行卡信息退款,4
我们是电商平台，请扫码处理订单异常,4
网购客服说系统出错要我转账,4
平台客服说我涉嫌违规交易,4
客服电话联系我让我交认证费,4
美团客服说我下单异常要我配合调查,4
对方自称是快递客服让我验证账户,4
电商平台客服要求提供验证码,4
客服说订单异常需退款,4
快递客服要求提供银行卡信息,4
平台客服说账户异常需转账,4
客服要求提供支付密码,4
客服说系统升级需重新认证,4
客服说订单异常需交保证金,4
客服说账户异常需转账,4
我是李总，立刻汇款到我发的账号,5
这个是我私人微信，加一下,5
单位公章需要用，打点资金先垫一下,5
新号码是领导的，处理转账事项,5
老板说让我打款，不方便接电话,5
我是张处长，紧急项目你先垫钱,5
公司财务紧急要你处理转账,5
董事长说让你今天之内打款完成,5
你代我处理这个资金问题,5
新领导加你微信让你转账合理吗？,5
领导让你加新微信,5
领导说有紧急转账任务,5
领导要求你处理资金问题,5
领导让你加新号码,5
领导说有紧急项目,5
领导让你处理转账,5
领导说有紧急汇款,5
领导让你加新微信处理事务,5
您是密接人员需登记核酸信息,6
疫情补贴到账点击领取,6
通行证办理异常请扫码核实,6
防疫办通知需支付隔离餐费,6
健康码异常需重新绑定银行卡,6
核酸检测点异常需要销毁试剂,6
防疫工作人员要我提供身份证和验证码,6
让我扫码下载疫情通行App,6
说我接触过阳性病例让我缴纳罚款,6
社区通知让我转账买防疫物资,6
疫情期间补贴发放,6
防疫办要求提供个人信息,6
疫情补贴需缴纳手续费,6
防疫工作人员要求转账,6
疫情期间需重新认证,6
防疫办要求提供验证码,6
疫情补贴需提供银行卡,6
疫情期间需缴纳保证金,6
哥哥我手机坏了发个红包呗,7
网恋对象说他出车祸急需钱,7
网友说要来看我让我转路费,7
交友平台上遇到一个炒币导师,7
游戏里认识的人推荐我买理财产品,7
网恋三个月她突然说她妈住院,7
他说想娶我但要先交彩礼给他妈,7
认识不久就开始谈结婚是不是骗局？,7
他说在国外回不来要我帮忙转账,7
她说她微信被冻结借我号用,7
网恋对象让你帮忙转账,7
网友说要借钱,7
网恋对象说家人生病,7
网友说要你帮忙转账,7
网友说要你帮忙买东西,7
网友说要你帮忙交学费,7
网友说要你帮忙买机票,7
网友说要你帮忙交房租,7 
