text,labels
恭喜您中奖了50000元，请点击http://prize.com领取奖金,"O O O B-MONEY I-MONEY O O B-LINK I-LINK I-LINK I-LINK O"
您已成功中奖获得100万元奖金，扫描下方二维码领取,"O O O O O B-MONEY I-MONEY I-MONEY O O O O O O"
您的手机号已被系统抽中特等奖，奖金88888元,"O O O O O O O O O O O B-MONEY I-MONEY"
国家彩票中心通知您中得大奖，奖金10000元已到账,"O O O O O O O O O B-MONEY I-MONEY I-MONEY O O"
您的账号已被抽中500元现金红包，点击www.prize.fake领取,"O O O O O O B-MONEY I-MONEY O O O O B-LINK I-LINK I-LINK I-LINK O"
中奖信息已发放，请联系李经理，电话：13912345678,"O O O O O B-NAME I-NAME O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
中奖通知：恭喜获得华为手机一部，请联系王助理18812345678,"O O O O O O O O O O B-NAME I-NAME B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
您是本月幸运用户，奖金将汇入账号6222000000000000,"O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
您是幸运客户，奖品将在3天内发放至账户4000123412341234,"O O O O O O O B-TIME I-TIME O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
中奖系统提示：您的奖金需在2023年12月31日前领取,"O O O O O O O O O B-TIME I-TIME I-TIME I-TIME I-TIME O O"
我是警官张三，您涉嫌洗钱，请拨打110配合调查,"O O B-NAME I-NAME O O O O O B-PHONE I-PHONE I-PHONE O O O"
这里是公安局李警官，您的银行账户涉嫌洗钱,"O O O O B-NAME I-NAME O O O O O O O"
我是检察院王检察官，您被列为嫌疑人，速联系：010-12348765,"O O O O B-NAME I-NAME O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
公安部杨警官通知，您账户异常，请联系13766668888,"O O B-NAME I-NAME O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
公安局紧急通知，请于明天上午10点到公安局办理,"O O O O O O B-TIME I-TIME I-TIME O B-LOC O O"
法院传票：请于2023年8月15日到北京市海淀区法院出庭,"O O O O O B-TIME I-TIME I-TIME I-TIME O B-LOC I-LOC I-LOC I-LOC O O"
您身份证涉及案件需核实账户，电话：13888888888,"O O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
您涉嫌多起案件，请速联系北京市公安局周警官：13801234567,"O O O O O O O B-LOC I-LOC O O B-NAME I-NAME O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
刷单返佣日入500，返现到账户1234567890123456,"O O O O B-MONEY O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
高薪刷单兼职，小时工资200元，微信联系wx123456,"O O O O O O B-MONEY O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
兼职平台要先支付押金，收款账号：6222333344445555,"O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
淘宝刷单任务，佣金300元/单，加VX:ksjd44399,"O O O O O B-MONEY I-MONEY O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
刷单任务：完成下单返还佣金88元，联系13688889999,"O O O O O O O O B-MONEY O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
刷单任务完成后可获得高额返利，联系QQ：123456789,"O O O O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
理财平台年化收益18%，客服：李经理，电话：13999999999,"O O O O O B-MONEY O B-NAME I-NAME O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
投资顾问推荐新项目，详情见http://invest.com,"O O O O O O B-LINK I-LINK I-LINK I-LINK"
朋友推荐理财App要投10万到账户8888888888888888,"O O O O O O O B-MONEY O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
虚拟货币投资，年化收益35%，联系微信wx_money666,"O O O O O O O B-MONEY O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
低风险理财项目，3个月回本，收益率25%，联系：15988887777,"O O O O O B-TIME I-TIME I-TIME O O O B-MONEY O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
期货投资内部指导群，每日收益500-1000元，加V：future888,"O O O O O O O O B-MONEY I-MONEY I-MONEY O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
高回报矿机投资，月收益3000元起，联系13812344321,"O O O O O O B-MONEY I-MONEY O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
投资金条5000元起，年利率30%，微信：gold999,"O O O B-MONEY I-MONEY O O O B-MONEY O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
我是京东客服，订单异常请退款，电话：13777777777,"O O O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
淘宝客服误操作要我退单，退款链接：http://refund.com,"O O O O O O O O O O B-LINK I-LINK I-LINK I-LINK"
平台客服说我涉嫌违规交易，收款账号：6222444455556666,"O O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
您的淘宝账号异常，请致电客服：400-123-4567,"O O O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE"
京东客服通知您的订单出现问题，打款至账号：6217007700880099,"O O O O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
美团客服中心紧急通知，需核实账户信息，联系电话13901234567,"O O O O O O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
我是拼多多客服，您的订单异常，联系解决：4001234567,"O O O O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE"
优惠券到账异常，请联系客服QQ：987654321,"O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
我是李总，立刻汇款到我发的账号1234123412341234,"O O B-NAME I-NAME O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
新号码是领导的，处理转账事项，电话：13666666666,"O O O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
领导让你加新微信，收款账号：6222555566667777,"O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
